skin_concern,vocabulary
dry,"['dull', 'rough', 'rough complexion', 'age', 'defend against', 'defend', 'moisture', 'plump', 'moisten', 'dull', 'luxurious', 'hydrated', 'hydration', 'stays hydrated', 'less fine lines', 'fine lines', 'wrinkles', 'silky', 'crepy', 'crepey', 'smooth', 'supple', 'fullness', 'improve fine lines', 'never greasy', 'tight', 'tight skin', 'taught', 'nourish', 'penetrate', 'rehydrate', 'callous', 'taut']"
oily,"['oily', 'acne', 'large pores', 'oiliness', 'large poresize', 'shiny', 'greasy', 'slick', 'greasy', 'blackhead', 'blackheads', 'breakout', 'breakouts', 'large', 'pores', 'whitehead', 'whiteheads', 'blemish', 'blemishes', 'cyst', 'cysts', 'cystic', 'cystic acne', 'less oily', 'clogged', 'clogged pores', 'scars', 'minimize scars', 'reduce acne', 'pock-marked', 'fewer breakouts', 'zit', 'zits', 'no longer oily', 'oily face', 'acne issues', 'antibacterial', 'bacteria', 'adult acne', 'acne ridden']"
combination,"['breakouts', 'chin', 'tzone', 'periodic breakouts', 'occasional breakout', 'oily t-zone', 't-zone', 'oily forehead', 'dry cheeks', 'oily one day', 'dry one day', 'dry the next day', 'oily the next day', 'dry sometimes', 'oily sometimes', 'dry acne prone', 'dry with acne', 'dry and acne', 'acne-prone', 'jaw', 'jawline', 'acne on jaw', 'acne on jawline', 'acne during time of the month', 'TOTM', 'ocassional acne issues ', 'dry patches']"
anti-aging,"['sun damage', 'UV', 'glowing', 'glow', 'younger skin', 'younger', 'fine lines', 'youthful', 'youthful appearance', 'firm', 'increase firm', 'increase elastic', 'increase elasticity', 'decrease fine lines', 'decrease fine lines and wrinkles', 'decrease wrinkles', 'marionette lines', 'frown lines', 'mouth lines', 'pucker lines', 'UV damage', 'sun damage', 'aged', 'aging', 'age', 'exfoliate', 'plump', 'filler', 'filling', 'fill', 'firm', 'lift', 'sagging', 'sag', 'reverse', 'vanish', 'signs of aging', 'leathery', 'mature', 'thin skin', 'wrinkled', 'wrinkly', 'hollow cheeks', 'hollow', 'leather', 'lines', 'withered', 'crows feet', 'older', 'elastic', 'elasticity', 'sagging', 'loose skin', 'crows', 'marionette', 'creases', 'improve fine lines', 'minimize', 'reduce fine lines', 'reduce', 'restore', 'restore elasticity', 'tone', 'restore tone', 'restore youth', 'restore youthful']"
psoriasis,"['scaly', 'cracking', 'eczema', 'rough patches', 'rough elbows', 'rough knees', 'scratched', 'psoriasis', 'dry', 'rough', 'eczema', 'dry patches', 'painful', 'heal', 'rescue', 'vanish', 'cracked', 'irritated', 'scratched', 'flaky', 'itchy', 'inflamed', 'red']"
scars,"['scars', 'acne scars', 'scarred', 'ridged', 'lesion', 'pock marked']"
lightening,"['brighten', 'lighten', 'bleach', 'age spot', 'spot', 'dark spots', 'lighter', 'color', 'pale', 'peaches and cream', 'freckles', 'blotch', 'blotchy', 'blotches', 'light', 'bleach out', 'bleaching', 'whitening', 'whiten', 'even tone', 'even skin tone', 'dark spots', 'erase', 'even out', 'vanish', 'age spots', 'dark patches', 'darker']"
sensitive,"['soothe', 'calm down', 'decrease burn', 'decrease rash', 'balance', 'burning', 'red spots', 'periodic burn', 'rash', 'calm', 'relieve', 'blistered', 'inflamed', 'irritated', 'sensitive', 'stripped', 'flare', 'irritate']"
deep-lines,"['deep lines', 'deep wrinkles', 'severe wrinkles', 'severe', 'wrinkled', 'wrinkly', 'wrinkles']"
large-pores,"['pores', 'poresize', 'pore', 'large pores', 'large', 'minimize pore', 'minimize poresize', 'small pores', 'invisible pores', 'tiny pores', 'size of craters', 'pores got smaller']"
rosacea,"['rosacea', 'redness', 'redness on cheeks', 'cheeks', 'redness on jawline', 'red on jawline', 'jawline', 'splotchy']"
circles-under-eyes,"['puffiness', 'dark circles', 'bags under eyes', 'minimize dark circles', 'minimize bags', 'vanish', 'bags', 'puffy eyes', 'puffy eyes', 'puffy eye area']"
uneven-skintone,"['even toned', 'rosacea', 'uneven skin tone', 'even-toned', 'eventoned', 'mottled', 'ruddy', 'splotchy', 'splotch', 'splotches', 'textured', 'age spot', 'peaches and cream', 'dark patches']"
